Date	power consumption	Hours of Year
2013-02-19 08:00:00.000000	125.275	1
2013-05-11 07:00:00.000000	123.175	2
2013-06-20 08:00:00.000000	120.825	3
2013-10-10 08:00:00.000000	120.725	4
2013-11-28 07:00:00.000000	120.55	5
2013-01-15 08:00:00.000000	119.95	6
2013-01-14 08:00:00.000000	119.6	7
2013-11-19 07:00:00.000000	119.175	8
2013-12-17 08:00:00.000000	119.15	9
2013-01-29 07:00:00.000000	118.725	10
2013-09-17 07:00:00.000000	118.275	11
2013-01-14 09:00:00.000000	114.575	12
2013-01-29 08:00:00.000000	114.525	13
2013-10-10 09:00:00.000000	113.5	14
2013-01-15 07:00:00.000000	113.2	15
2013-12-17 09:00:00.000000	113.05	16
2013-01-15 09:00:00.000000	112.975	17
2013-05-02 08:00:00.000000	112.825	18
2013-11-28 08:00:00.000000	112.5	19
2013-06-20 09:00:00.000000	112.275	20
2013-05-11 08:00:00.000000	111.975	21
2013-08-10 08:00:00.000000	111.975	22
2013-03-12 08:00:00.000000	111.725	23
2013-09-24 08:00:00.000000	111.6	24
2013-10-09 08:00:00.000000	110.75	25
2013-01-14 07:00:00.000000	110.7	26
2013-01-28 08:00:00.000000	110.675	27
2013-10-25 09:00:00.000000	110.075	28
2013-11-01 09:00:00.000000	110.025	29
2013-09-24 07:00:00.000000	109.75	30
2013-12-17 07:00:00.000000	109.55	31
2013-09-17 08:00:00.000000	107.625	32
2013-06-12 10:00:00.000000	107.275	33
2013-11-19 08:00:00.000000	107.025	34
2013-10-09 07:00:00.000000	106.475	35
2013-02-27 07:00:00.000000	106.375	36
2013-04-30 09:00:00.000000	106.32499999999999	37
2013-01-24 08:00:00.000000	106.225	38
2013-10-12 08:00:00.000000	105.85	39
2013-02-28 08:00:00.000000	105.725	40
2013-10-01 07:00:00.000000	105.625	41
2013-10-22 08:00:00.000000	105.55	42
2013-10-10 07:00:00.000000	105.275	43
2013-11-03 08:00:00.000000	105.25	44
2013-11-06 07:00:00.000000	104.825	45
2013-10-23 10:00:00.000000	104.8	46
2013-01-14 10:00:00.000000	104.575	47
2013-01-29 09:00:00.000000	104.375	48
2013-05-03 08:00:00.000000	104.35	49
2013-10-10 10:00:00.000000	103.875	50
2013-08-03 08:00:00.000000	103.80000000000001	51
2013-10-01 08:00:00.000000	103.75	52
2013-02-18 08:00:00.000000	103.725	53
2013-10-15 07:00:00.000000	103.725	54
2013-07-03 07:00:00.000000	103.55	55
2013-10-12 07:00:00.000000	103.52499999999999	56
2013-06-20 07:00:00.000000	103.5	57
2013-12-11 08:00:00.000000	103.4	58
2013-10-23 08:00:00.000000	103.375	59
2013-12-11 07:00:00.000000	103.325	60
2013-03-05 08:00:00.000000	103.25	61
2013-01-10 07:00:00.000000	103.2	62
2013-10-24 07:00:00.000000	103.2	63
2013-08-01 08:00:00.000000	102.85	64
2013-07-11 08:00:00.000000	102.8	65
2013-01-21 08:00:00.000000	102.25	66
2013-09-07 08:00:00.000000	102.175	67
2013-01-10 08:00:00.000000	101.925	68
2013-03-05 09:00:00.000000	101.775	69
2013-02-18 07:00:00.000000	101.475	70
2013-10-10 11:00:00.000000	101.175	71
2013-09-20 10:00:00.000000	101.025	72
2013-05-02 07:00:00.000000	100.85	73
2013-07-03 08:00:00.000000	100.625	74
2013-07-01 08:00:00.000000	100.55	75
2013-08-04 07:00:00.000000	100.375	76
2013-11-28 09:00:00.000000	100.30000000000001	77
2013-09-07 07:00:00.000000	100.2	78
2013-05-02 09:00:00.000000	100.0	79
2013-08-03 07:00:00.000000	100.0	80
2013-10-22 09:00:00.000000	99.675	81
2013-11-12 08:00:00.000000	99.675	82
2013-01-02 07:00:00.000000	99.65	83
2013-01-15 10:00:00.000000	99.475	84
2013-12-19 08:00:00.000000	99.45	85
2013-01-29 13:00:00.000000	99.4	86
2013-02-27 08:00:00.000000	99.4	87
2013-01-22 08:00:00.000000	99.125	88
2013-01-30 09:00:00.000000	99.025	89
2013-05-03 07:00:00.000000	98.8	90
2013-11-21 08:00:00.000000	98.8	91
2013-10-25 08:00:00.000000	98.775	92
2013-05-11 09:00:00.000000	98.45	93
2013-10-25 10:00:00.000000	98.42500000000001	94
2013-03-07 07:00:00.000000	98.25	95
2013-01-25 08:00:00.000000	98.075	96
2013-10-24 08:00:00.000000	98.05	97
2013-11-26 07:00:00.000000	97.975	98
2013-08-01 07:00:00.000000	97.55	99
2013-12-12 07:00:00.000000	97.45	100
2013-06-18 07:00:00.000000	96.8	101
2013-11-26 08:00:00.000000	96.6	102
2013-08-10 07:00:00.000000	96.5	103
2013-06-06 07:00:00.000000	96.45	104
2013-11-03 07:00:00.000000	96.225	105
2013-10-23 07:00:00.000000	96.075	106
2013-11-22 10:00:00.000000	96.075	107
2013-10-23 09:00:00.000000	95.95	108
2013-12-13 10:00:00.000000	95.9	109
2013-04-02 08:00:00.000000	95.575	110
2013-06-20 10:00:00.000000	95.475	111
2013-08-11 10:00:00.000000	95.225	112
2013-01-14 12:00:00.000000	95.15	113
2013-01-22 09:00:00.000000	95.125	114
2013-09-17 09:00:00.000000	95.075	115
2013-01-25 10:00:00.000000	95.05	116
2013-01-28 07:00:00.000000	95.05	117
2013-09-12 08:00:00.000000	94.975	118
2013-11-12 10:00:00.000000	94.925	119
2013-01-25 09:00:00.000000	94.875	120
2013-08-03 09:00:00.000000	94.775	121
2013-04-29 08:00:00.000000	94.625	122
2013-03-12 09:00:00.000000	94.5	123
2013-11-04 09:00:00.000000	94.5	124
2013-12-18 08:00:00.000000	94.375	125
2013-01-02 08:00:00.000000	94.35	126
2013-11-14 09:00:00.000000	94.3	127
2013-12-18 07:00:00.000000	94.3	128
2013-04-07 08:00:00.000000	94.225	129
2013-10-15 08:00:00.000000	94.175	130
2013-04-16 08:00:00.000000	94.125	131
2013-02-22 09:00:00.000000	94.05	132
2013-02-28 07:00:00.000000	93.975	133
2013-02-19 09:00:00.000000	93.825	134
2013-08-04 08:00:00.000000	93.775	135
2013-11-19 09:00:00.000000	93.65	136
2013-01-02 10:00:00.000000	93.25	137
2013-02-20 07:00:00.000000	93.225	138
2013-03-19 07:00:00.000000	93.125	139
2013-01-30 08:00:00.000000	93.1	140
2013-11-21 09:00:00.000000	93.075	141
2013-06-18 08:00:00.000000	92.95	142
2013-02-10 08:00:00.000000	92.825	143
2013-06-03 07:00:00.000000	92.775	144
2013-01-14 11:00:00.000000	92.675	145
2013-03-19 08:00:00.000000	92.6	146
2013-04-02 07:00:00.000000	92.6	147
2013-02-26 08:00:00.000000	92.5	148
2013-11-28 10:00:00.000000	92.45	149
2013-09-10 08:00:00.000000	92.425	150
2013-06-18 09:00:00.000000	92.3	151
2013-04-03 07:00:00.000000	92.25	152
2013-08-11 09:00:00.000000	92.25	153
2013-03-05 10:00:00.000000	91.9	154
2013-01-28 11:00:00.000000	91.675	155
2013-01-22 07:00:00.000000	91.6	156
2013-12-11 09:00:00.000000	91.6	157
2013-06-17 13:00:00.000000	91.525	158
2013-12-12 10:00:00.000000	91.45	159
2013-11-06 08:00:00.000000	91.325	160
2013-01-24 07:00:00.000000	91.3	161
2013-12-04 09:00:00.000000	91.3	162
2013-03-14 07:00:00.000000	91.22500000000001	163
